hotel_names,location,price,score_hotels,number_rating,star_number,received_time,giveback_time,description,hotel_link,id
Pan Pacific Hanoi,"Trong khu vực
Xem bản đồ
1 Thanh Niên, Trúc Bạch, Quận Ba Đình, Hà Nội, Việt Nam, 100000
Xung quanh tiện ích công cộng
Phố Đường Tàu Hà Nội
2.25 km
Nhà thờ Lớn Hà Nội
2.54 km
Hồ Hoàn Kiếm
2.69 km
Chùa Trấn Quốc
396 m
Chùa Thần Quang
435 m
Seasons of Hanoi
807 m
Đền Quán Thánh
866 m",4076968,"8,7",937,5,No value,No value,"Pan Pacific Hanoi toạ lạc tại khu vực / thành phố Trúc Bạch. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000000199745.Pan%20Pacific%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=c33e64f7-4ac0-4997-809c-68f86938d417,22
Khách sạn Melia Hanoi,"Trong khu vực
Xem bản đồ
44 Ly Thuong Kiet, Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt Nam
Khu mua sắm
Nhà thờ Lớn Hà Nội
513 m
Hồ Hoàn Kiếm
636 m
Phố Đường Tàu Hà Nội
813 m
Meliá Hanoi
26 m
Chè Thập Cẩm Cũ 1976
191 m
Circle K Trần Hưng Đạo
214 m
Di tích nhà tù Hỏa Lò
262 m",3980736,"8,7",1,5,No value,No value,"Lưu ý: khách sạn trước đây mang tên Melia Hanoi Lưu trú tại Melia Hanoi Hotel là một lựa chọn đúng đắn khi quý khách đến thăm Trần Hưng Đạo. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000000171688.Kh%C3%A1ch%20s%E1%BA%A1n%20Melia%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=bd2a4974-758c-4165-9334-03132648f572,23
The Five Residences Hanoi,"Trong khu vực
Xem bản đồ
345 Đoi Can, Liễu Giai, Quận Ba Đình, Hà Nội, Việt Nam
Gần khu vui chơi giải trí
Lăng Chủ tịch Hồ Chí Minh
1.87 km
Chùa Láng
1.95 km
Phố Đường Tàu Hà Nội
2.93 km
Pizza 4P's Phan Kế Bính
490 m
Cung thể thao Quần Ngựa
495 m
Bệnh viện Quân Y 354
575 m
Capital Place
579 m",3832485,"9,6",33,5,No value,No value,"Lưu trú tại The Five Residences Hanoi là một lựa chọn đúng đắn khi quý khách đến thăm Liễu Giai. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001674659.The%20Five%20Residences%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=c052ef92-2780-4069-a279-bd1c87f24e34,24
Old Quarter Hotel 1961,"Trong khu vực
Xem bản đồ
Number 6 Lane 22 Hang Voi, Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội, Việt Nam, 100000
Khu mua sắm
Hồ Hoàn Kiếm
488 m
Nhà thờ Lớn Hà Nội
828 m
Phố Đường Tàu Hà Nội
1.32 km
The Gourmet Corner Restaurant
271 m
Vườn hoa Lý Thái Tổ
324 m
Tượng Đài Vua Lý Thái Tổ
344 m
Pen Tower
362 m",237477,"6,6",109,3,No value,No value,"Lưu trú tại Old Quarter Hotel 1961 là một lựa chọn đúng đắn khi quý khách đến thăm Lý Thái Tổ. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000000326462.Old%20Quarter%20Hotel%201961.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=95bef0f4-84e4-4380-9b06-314c43deeacf,25
Khách sạn FTE Ba Dinh,"Trong khu vực
Xem bản đồ
268 Duong Buoi, Ba Dinh, Vĩnh Phúc, Quận Ba Đình, Hà Nội, Việt Nam
Xung quanh trung tâm giải trí
Chùa Láng
1.64 km
Nhà ga Cát Linh
2.38 km
Lăng Chủ tịch Hồ Chí Minh
2.85 km
Bệnh viện Quân Y 354
578 m
Pizza 4P's Phan Kế Bính
736 m
Cung thể thao Quần Ngựa
773 m
Khách sạn Lotte Hà Nội
924 m",1199165,"9,2",54,4,No value,No value,"Lưu trú tại FTE Ba Dinh Hotel là một lựa chọn đúng đắn khi quý khách đến thăm Vĩnh Phúc. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001000715.Kh%C3%A1ch%20s%E1%BA%A1n%20FTE%20Ba%20Dinh.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=a3a53501-3705-478f-a3a6-facbca77e0f0,26
Libré Homestay,"Trong khu vực
Xem bản đồ
Số 29 Ngõ Hàng Cháo, Cát Linh, Quận Đống Đa, Hà Nội, Việt Nam
Xung quanh trung tâm giải trí
Phố Đường Tàu Hà Nội
1.07 km
Nhà thờ Lớn Hà Nội
1.57 km
Hồ Hoàn Kiếm
1.91 km
Văn Miếu - Quốc Tử Giám
237 m
KOTO Restaurant Hanoi
331 m
Bảo tàng Mỹ thuật Quốc gia Việt Nam
370 m
Khách sạn Hùng Vương
393 m",374928,"9,1",176,2,No value,No value,"Lưu ý: nơi nghỉ trước đây mang tên Libre Homestay Libré Homestay là một nơi nghỉ nằm trong khu vực an ninh, toạ lạc tại Cát Linh. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của nơi nghỉ cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000002452279.Libr%C3%A9%20Homestay.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=e2113a46-bf81-4f43-a820-bf4008faef8c,27
Millennium Hanoi Hotel,"Trong khu vực
Xem bản đồ
246B Hàng Bông, Cửa  Nam, Quận Hoàn Kiếm, Hà Nội, Việt Nam, 100000
Khu mua sắm
Phố Đường Tàu Hà Nội
247 m
Nhà thờ Lớn Hà Nội
620 m
Hồ Hoàn Kiếm
965 m
Phố Đường Tàu Hà Nội
247 m
Namaste Hanoi
334 m
Đại Sứ Quán Đức
360 m
Bệnh Viện Phụ Sản Trung Ương Phòng Khám
455 m",544585,"8,7",1,3,No value,No value,"Millennium Hanoi Hotel là một khách sạn nằm trong khu vực an ninh, toạ lạc tại Cửa Nam. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000001037181.Millennium%20Hanoi%20Hotel.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=f87791b6-498d-496f-b695-fc9c726bbbd2,28
Hôtel du Parc Hanoï,"Trong khu vực
Xem bản đồ
84 Tran Nhan Tong, Nguyễn Du, Quận Hai Bà Trưng, Hà Nội, Việt Nam
Xung quanh trung tâm giải trí
Phố Đường Tàu Hà Nội
1.36 km
Nhà thờ Lớn Hà Nội
1.38 km
Hồ Hoàn Kiếm
1.59 km
Công viên Thống Nhất
272 m
Trung tâm Hội chợ Triển lãm quốc tế I.C.E Hà Nội
447 m
Tượng đài Công an Nhân dân vì dân phục vụ
532 m
Cung Văn hóa Lao động Hữu nghị Việt - Xô
557 m",3751656,"8,7",933,5,No value,No value,"Lưu ý: khách sạn trước đây mang tên Hotel du Parc Hanoi Hôtel du Parc Hanoï là một khách sạn nằm trong khu vực an ninh, toạ lạc tại Nguyễn Du. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000000173970.H%C3%B4tel%20du%20Parc%20Hano%C3%AF.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=43b5198e-9540-4c50-8819-88e660096e92,29
Khách sạn Hanoi Daewoo,"Trong khu vực
Xem bản đồ
360 Kim Ma, Ngọc Khánh, Quận Ba Đình, Hà Nội, Việt Nam
Xung quanh tiện ích công cộng
Chùa Láng
1.19 km
Nhà ga Cát Linh
1.64 km
Lăng Chủ tịch Hồ Chí Minh
2.46 km
Khách sạn Lotte Hà Nội
106 m
Đài quan sát LOTTE Hà Nội
141 m
Capital Place
238 m
Vincom Center Metropolis
339 m",2182582,"8,6",1,5,No value,No value,"Lưu trú tại Hanoi Daewoo Hotel là một lựa chọn đúng đắn khi quý khách đến thăm Ngọc Khánh. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000000128509.Kh%C3%A1ch%20s%E1%BA%A1n%20Hanoi%20Daewoo.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=74f44f2f-b269-4905-98d6-97e273023e0b,30
Mia Hotel Hanoi,"Trong khu vực
Xem bản đồ
Số 90, Ngõ 116, phố Nhân Hòa (Đối diện ngõ 9, phố Hoàng Đạo Thúy), phường Nhân Chính, Thanh Xuân, Hà Nội, Việt Nam
Xung quanh tiện ích công cộng
Big C Thăng Long
1.46 km
Ga Thái Hà
1.70 km
Chùa Láng
2.23 km
Trill Rooftop Cafe
228 m
Ủy Ban Phường Nhân Chính
445 m
Vincom Mega Mall Royal City
926 m
Chùa Cảm Ứng
931 m",372294,"8,1",55,4,No value,No value,"Lưu ý: khách sạn trước đây mang tên Mia Hotel Mia Hotel Hanoi là một khách sạn nằm trong khu vực an ninh, toạ lạc tại phường Nhân Chính. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000000889924.Mia%20Hotel%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=7bf88f37-a87f-4431-beff-0e335144d2e1,31
Hanoi Flora Hotel,"Trong khu vực
Xem bản đồ
1-3 P. Tố Tịch, Hàng Gai, Quận Hoàn Kiếm, Hà Nội, Việt Nam, 100000
Khu mua sắm
Nhà thờ Lớn Hà Nội
481 m
Hồ Hoàn Kiếm
509 m
Phố Đường Tàu Hà Nội
703 m
Phố Hàng Gai
112 m
Phố Cổ
148 m
King Pirates Pub
301 m
Đền Bạch Mã
340 m",1241269,"8,8",34,3,No value,No value,"Hanoi Flora Hotel toạ lạc tại khu vực / thành phố Hàng Gai. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001195485.Hanoi%20Flora%20Hotel.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=72d33913-0cf4-48a1-9bb9-ac267b405c13,32
New Style House Hotel 2,"Trong khu vực
Xem bản đồ
14/40 Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội, Việt Nam, 100000
Xung quanh tiện ích công cộng
Chùa Láng
1.08 km
Big C Thăng Long
1.32 km
Nhà ga Cát Linh
2.85 km
Bưu Điện Việt Nam
626 m
Don Chicken
710 m
Chùa Cảm Ứng
739 m
Chùa Láng
984 m",254439,"8,1",78,0,No value,No value,"Khách sạn New Style House 2 là một khách sạn nằm trong khu vực an ninh, toạ lạc tại Phường Trung Hòa.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001072420.New%20Style%20House%20Hotel%202.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=6f6f7624-9877-4e65-a74d-e852dabb9307,33
Khách sạn D'Villa,"Trong khu vực
Xem bản đồ
42 BT2 Bắc Linh Đàm, Đại Kim, Quận Hoàng Mai, Hà Nội, Việt Nam
Xung quanh tiện ích công cộng
Trường Đại học Thăng Long
1.33 km
TT Vận Tải Đường Sắt Bắc Nam
1.74 km
Bệnh viện Đại học Y Dược - Cơ sở Linh Đàm
1.08 km
Trường Đại học Thăng Long
1.33 km
Tu Ky Pagoda
1.66 km
TT Vận Tải Đường Sắt Bắc Nam
1.74 km
Công Ty TNHH Thương Mại & Dịch Vụ Vận Tải Đường Sắt Giáp Bát
2.42 km",488525,"8,4",43,3,No value,No value,"D'Villa Hotel là một khách sạn nằm trong khu vực an ninh, toạ lạc tại Đại Kim. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.3000020017393.Kh%C3%A1ch%20s%E1%BA%A1n%20D%27Villa.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=cb85fea5-c087-45ac-8e15-1f49abd34299,34
22Housing Moon Westlake Residence,"Trong khu vực
Xem bản đồ
185A Trích Sài, Bưởi, Tây Hồ, Hà Nội, Việt Nam
Gần khu vui chơi giải trí
Chùa Hà
2.73 km
Lăng Chủ tịch Hồ Chí Minh
2.90 km
Bệnh Viện phụ sản Hà Nội
2.94 km
Nhà Hàng Xóm Vắng 3 - Hạ Long
359 m
Bệnh Viện Đa Khoa Quốc Tế Thu Cúc
833 m
Đường Lạc Long Quân Hà Nội
1.37 km
Hồ Tây
1.39 km",465367,"8,2",109,3,No value,No value,"Lưu ý: nơi nghỉ trước đây mang tên 22Housing Moon Westlake Apartment 22Housing Moon Westlake Residence toạ lạc tại khu vực / thành phố Bưởi. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của nơi nghỉ cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000000967842.22Housing%20Moon%20Westlake%20Residence.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=864819d0-e7cf-4651-936a-035ca32c5932,35
Khách sạn My 23,"Trong khu vực
Xem bản đồ
23 Bà Triệu, Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội, Việt Nam
Khu mua sắm
Nhà thờ Lớn Hà Nội
1.22 km
Hồ Hoàn Kiếm
1.24 km
Phố Đường Tàu Hà Nội
1.50 km
Đường Bà Triệu Hà Nội
87 m
Tượng đài Công an Nhân dân vì dân phục vụ
325 m
Indochine
469 m
Circle K Trần Hưng Đạo
508 m",574971,"8,6",199,3,No value,No value,"Lưu trú tại My Hotel 23 là một lựa chọn đúng đắn khi quý khách đến thăm Bùi Thị Xuân. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.3000010040333.Kh%C3%A1ch%20s%E1%BA%A1n%20My%2023.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=533daffd-3b87-45ba-b89b-88e2c5ae3129,36
Le Grand Hanoi Hotel - The Oriental,"Trong khu vực
Xem bản đồ
6 Ng. 80 Tran Duy Hung Street, Trung Hoa, Cau Giay District, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội, Việt Nam
Xung quanh tiện ích công cộng
Big C Thăng Long
907 m
Chùa Láng
1.33 km
Ga Thái Hà
1.96 km
Don Chicken
714 m
Sân Bóng Ngọc Bảo
775 m
Vimeco CT4 Tower
860 m
Big C Thăng Long
907 m",483022,"9,3",24,3,No value,No value,"Le Grand Hanoi Hotel - The Oriental là một khách sạn nằm trong khu vực an ninh, toạ lạc tại Phường Trung Hòa. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000003302941.Le%20Grand%20Hanoi%20Hotel%20-%20The%20Oriental.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=85ef24f8-ab0a-49cf-a0ef-6f2582265ad2,37
Khách sạn D'Villa Lâm Hạ,"Trong khu vực
Xem bản đồ
129 P. Lâm Hạ, Bồ Đề, Long Biên, Hà Nội, Bồ Đề, Quận Long Biên, Hà Nội, Việt Nam
Bến xe Gia Lâm
1.02 km
Aeon Mall Long Biên
2.25 km
Học Viện Hậu Cần
2.65 km
Bến xe Gia Lâm
1.02 km
Công Viên Ngọc Lâm
1.17 km
Sân Golf Long Biên
1.37 km
Hồ Sài Đồng
1.74 km
Miếu Cô Chín Gia Quất
1.82 km",580500,"9,1",5,0,No value,No value,"D'Villa Hotel Lam Ha toạ lạc tại khu vực / thành phố Bồ Đề. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000005835315.Kh%C3%A1ch%20s%E1%BA%A1n%20D%27Villa%20L%C3%A2m%20H%E1%BA%A1.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=93c99afc-570e-441b-b386-f5f1044f1600,38
Ivy Luxury & Apartment,"Trong khu vực
Xem bản đồ
87 Phố Nguyễn Thái Học, Văn Miếu, Quận Đống Đa, Hà Nội, Việt Nam, 100000
Xung quanh trung tâm giải trí
Phố Đường Tàu Hà Nội
589 m
Nhà thờ Lớn Hà Nội
1.09 km
Hồ Hoàn Kiếm
1.43 km
Viện Goethe Hà Nội
105 m
Bảo tàng Mỹ thuật Quốc gia Việt Nam
203 m
Văn Miếu - Quốc Tử Giám
247 m
Cục Quản Lý Xuất Nhập Cảnh
259 m",580500,"8,2",59,0,No value,No value,"Ivy Luxury & Apartment toạ lạc tại khu vực / thành phố Văn Miếu. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001204716.Ivy%20Luxury%20%26%20Apartment.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=e47abcf6-709e-4dbd-bf1f-a7817177870a,39
Novotel Hanoi Thai Ha,"Trong khu vực
Xem bản đồ
Quận Đống Đa, 2 Thai Ha Str., Trung Liet Wd., Trung Liệt, Quận Đống Đa, Hà Nội, Việt Nam
Xung quanh tiện ích công cộng
Ga Hà Nội
2.40 km
Văn Miếu - Quốc Tử Giám
2.55 km
Chùa Láng
2.80 km
Trường Đại Học Công Đoàn
150 m
Nhà Thờ Giáo Xứ Thái Hà
652 m
Ga Thái Hà
761 m
Sân bóng đá Hoàng Cầu
896 m",3849998,"9,2",78,5,No value,No value,"Ở tại Novotel Hà Nội Thái Hà là một lựa chọn tốt khi bạn đến thăm Trung Liệt. Quầy lễ tân 24 giờ luôn sẵn sàng phục vụ bạn, từ nhận phòng đến trả phòng hoặc bất kỳ sự hỗ trợ nào bạn cần. Nếu bạn muốn biết thêm, đừng ngần ngại hỏi quầy lễ tân, chúng tôi luôn sẵn sàng phục vụ bạn. Wi-Fi có sẵn trong các khu vực công cộng của khách sạn để giúp bạn giữ liên lạc với gia đình và bạn bè.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000001791889.Novotel%20Hanoi%20Thai%20Ha.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=0f6a3026-5e01-44ba-85e1-454dca340a91,40
Eli Rina Hotel,"Trong khu vực
Xem bản đồ
115 Nguyen Khuyen, Văn Miếu, Quận Đống Đa, Hà Nội, Việt Nam
Xung quanh trung tâm giải trí
Phố Đường Tàu Hà Nội
709 m
Nhà thờ Lớn Hà Nội
1.19 km
Hồ Hoàn Kiếm
1.53 km
KOTO Restaurant Hanoi
166 m
Viện Goethe Hà Nội
180 m
Văn Miếu - Quốc Tử Giám
187 m
Bảo tàng Mỹ thuật Quốc gia Việt Nam
253 m",1190091,"9,2",127,4,No value,No value,"Eli Rina Hotel toạ lạc tại khu vực / thành phố Văn Miếu. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000002216268.Eli%20Rina%20Hotel.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=9ca9686a-477a-4e72-ae38-0d96a5f47ca4,41
D'Villa Hotel Việt Hưng,"Trong khu vực
Xem bản đồ
Số 10 Ngõ 85 Phố Vũ Đức Thận, Phường Việt Hưng, Quận Long Biên, Thành Phố Hà Nội, Việt Nam., Quận Long Biên, Hà Nội, Việt Nam
Gần khu mua sắm
Bến xe Gia Lâm
1.77 km
Công an phường Thượng Thanh
2.24 km
Aeon Mall Long Biên
2.72 km
Sân Golf Long Biên
1.53 km
Hồ Sài Đồng
1.57 km
Học Viện Hậu Cần
1.71 km
Bến xe Gia Lâm
1.77 km",525617,"8,8",25,3,No value,No value,"D'Villa Hotel Viet Hung là một khách sạn nằm trong khu vực an ninh, toạ lạc tại Quận Long Biên. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001151260.D%27Villa%20Hotel%20Vi%E1%BB%87t%20H%C6%B0ng.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=afb4f4b1-24ac-4487-9fef-e94c1b55faf2,42
